Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,11 647,2 200,2 200,"7,32"
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,805,5 260,5 295,"0,67"
BICC,BICI COTE D'IVOIRE,684,19 005,19 350,"-0,74"
BNBC,BERNABE COTE D'IVOIRE,896,1 800,1 780,"3,19"
BOAB,BANK OF AFRICA BENIN,538,5 100,5 090,"-0,20"
BOABF,BANK OF AFRICA BURKINA FASO,1 436,3 800,3 785,"-0,39"
BOAC,BANK OF AFRICA COTE D'IVOIRE,479,7 290,7 280,"-0,14"
BOAM,BANK OF AFRICA MALI,2 068,4 250,4 250,"0,00"
BOAN,BANK OF AFRICA NIGER,80,2 570,2 570,"0,00"
BOAS,BANK OF AFRICA SENEGAL,3 262,5 550,5 560,"-0,71"
CABC,SICABLE COTE D'IVOIRE,394,1 745,1 740,"-2,79"
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,63,9 980,9 980,"0,00"
CFAC,CFAO MOTORS COTE D'IVOIRE,1 346,1 780,1 750,"-1,96"
CIEC,CIE COTE D'IVOIRE,589,2 495,2 500,"0,40"
ECOC,ECOBANK COTE D'IVOIRE,153,14 000,14 000,"0,00"
ETIT,Ecobank Transnational Incorporated TOGO,88 245,21,22,"4,76"
FTSC,FILTISAC COTE D'IVOIRE,2 407,2 800,2 890,"1,23"
LNBB,LOTERIE NATIONALE DU BENIN,165,3 860,3 850,"0,00"
NEIC,NEI-CEDA COTE D'IVOIRE,94,690,690,"0,00"
NSBC,NSIA BANQUE COTE D'IVOIRE,287,10 995,11 000,"-0,90"
NTLC,NESTLE COTE D'IVOIRE,106,13 300,13 400,"0,00"
ONTBF,ONATEL BURKINA FASO,215,2 405,2 405,"0,00"
ORAC,ORANGE COTE D'IVOIRE,111,15 000,15 200,"1,33"
ORGT,ORAGROUP TOGO,11 775,2 710,2 700,"6,93"
PALC,PALM COTE D'IVOIRE,1 787,8 895,8 805,"-1,01"
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,195,3 900,3 940,"0,00"
SAFC,SAFCA COTE D'IVOIRE,827,2 695,2 695,"3,65"
SCRC,SUCRIVOIRE COTE D'IVOIRE,132,1 270,1 270,"0,00"
SDCC,SODE COTE D'IVOIRE,40,6 200,6 200,"0,08"
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,583,1 490,1 490,"0,00"
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
SGBC,SOCIETE GENERALE COTE D'IVOIRE,266,27 700,27 350,"-1,26"
SHEC,VIVO ENERGY COTE D'IVOIRE,1 672,1 250,1 260,"0,00"
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,546,5 600,5 600,"0,00"
SICC,SICOR COTE D'IVOIRE,0,0,3 500,"0,00"
SIVC,AIR LIQUIDE COTE D'IVOIRE,870,675,675,"-0,74"
SLBC,SOLIBRA COTE D'IVOIRE,20,19 300,19 300,"7,19"
SMBC,SMB COTE D'IVOIRE,170,9 800,9 600,"-2,04"
SNTS,SONATEL SENEGAL,511,26 500,26 700,"0,79"
SOGC,SOGB COTE D'IVOIRE,943,8 500,8 510,"0,12"
SPHC,SAPH COTE D'IVOIRE,677,8 000,8 000,"0,00"
STAC,SETAO COTE D'IVOIRE,56,1 200,1 200,"1,69"
STBC,SITAB COTE D'IVOIRE,642,19 795,19 225,"-2,90"
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,4 473,2 400,2 350,"0,00"
TTLS,TOTALENERGIES MARKETING SENEGAL,398,2 550,2 530,"-0,78"
UNLC,UNILEVER COTE D'IVOIRE,0,0,18 605,"0,00"
UNXC,UNIWAX COTE D'IVOIRE,1 094,1 890,1 890,"0,00"
