Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,279,2 300,2 300,"-0,86"
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,3 343,5 150,5 250,"0,00"
BICC,BICI COTE D'IVOIRE,49,18 500,18 450,"-0,27"
BNBC,BERNABE COTE D'IVOIRE,392,1 820,1 825,"0,27"
BOAB,BANK OF AFRICA BENIN,950,5 095,5 090,"0,00"
BOABF,BANK OF AFRICA BURKINA FASO,6 816,3 850,3 790,"-0,39"
BOAC,BANK OF AFRICA COTE D'IVOIRE,377,7 285,7 290,"0,07"
BOAM,BANK OF AFRICA MALI,1 356,4 200,4 205,"0,00"
BOAN,BANK OF AFRICA NIGER,949,2 595,2 595,"2,57"
BOAS,BANK OF AFRICA SENEGAL,610,5 650,5 650,"0,09"
CABC,SICABLE COTE D'IVOIRE,415,1 950,1 850,"-7,50"
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,42,9 995,9 995,"0,00"
CFAC,CFAO MOTORS COTE D'IVOIRE,1 799,1 700,1 700,"7,26"
CIEC,CIE COTE D'IVOIRE,253,2 485,2 450,"1,24"
ECOC,ECOBANK COTE D'IVOIRE,140,14 000,14 000,"0,00"
ETIT,Ecobank Transnational Incorporated TOGO,53 556,21,21,"0,00"
FTSC,FILTISAC COTE D'IVOIRE,1 998,2 900,2 920,"1,04"
LNBB,LOTERIE NATIONALE DU BENIN,5 526,4 000,4 000,"0,00"
NEIC,NEI-CEDA COTE D'IVOIRE,384,700,690,"-1,43"
NSBC,NSIA BANQUE COTE D'IVOIRE,84,11 200,11 200,"0,00"
NTLC,NESTLE COTE D'IVOIRE,226,13 400,13 250,"-1,12"
ONTBF,ONATEL BURKINA FASO,138,2 500,2 450,"-2,00"
ORAC,ORANGE COTE D'IVOIRE,441,15 000,15 000,"0,67"
ORGT,ORAGROUP TOGO,2 219,2 540,2 540,"0,00"
PALC,PALM COTE D'IVOIRE,1 095,9 000,8 950,"-1,81"
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,445,3 950,3 950,"0,00"
SAFC,SAFCA COTE D'IVOIRE,7 155,2 470,2 500,"1,83"
SCRC,SUCRIVOIRE COTE D'IVOIRE,788,1 250,1 250,"0,00"
SDCC,SODE COTE D'IVOIRE,32,6 095,6 095,"1,25"
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,262,1 470,1 485,"-0,34"
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
SGBC,SOCIETE GENERALE COTE D'IVOIRE,55,28 000,28 000,"2,94"
SHEC,VIVO ENERGY COTE D'IVOIRE,833,1 245,1 245,"1,22"
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,2 305,5 700,5 700,"0,00"
SICC,SICOR COTE D'IVOIRE,0,0,3 500,"0,00"
SIVC,AIR LIQUIDE COTE D'IVOIRE,1 138,715,700,"-2,10"
SLBC,SOLIBRA COTE D'IVOIRE,58,19 500,19 500,"0,26"
SMBC,SMB COTE D'IVOIRE,43,9 800,9 800,"0,20"
SNTS,SONATEL SENEGAL,381,26 150,26 350,"0,00"
SOGC,SOGB COTE D'IVOIRE,170,8 705,8 700,"-0,06"
SPHC,SAPH COTE D'IVOIRE,54,8 150,7 995,"0,06"
STAC,SETAO COTE D'IVOIRE,200,1 110,1 110,"0,91"
STBC,SITAB COTE D'IVOIRE,679,19 400,19 125,"-4,14"
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,6 415,2 300,2 300,"0,00"
TTLS,TOTALENERGIES MARKETING SENEGAL,452,2 500,2 500,"0,00"
UNLC,UNILEVER COTE D'IVOIRE,0,0,18 605,"0,00"
UNXC,UNIWAX COTE D'IVOIRE,1 437,1 700,1 740,"2,35"
