Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,5 594,2 370,2 375,"0,42"
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,3 306,5 300,5 250,"-0,94"
BICC,BICI COTE D'IVOIRE,1 125,19 450,19 500,"0,26"
BNBC,BERNABE COTE D'IVOIRE,913,1 850,1 855,"-2,37"
BOAB,BANK OF AFRICA BENIN,1 624,5 000,5 000,"0,00"
BOABF,BANK OF AFRICA BURKINA FASO,6 729,3 780,3 650,"-3,44"
BOAC,BANK OF AFRICA COTE D'IVOIRE,12 966,7 200,7 000,"-2,78"
BOAM,BANK OF AFRICA MALI,3 546,4 365,4 350,"-0,34"
BOAN,BANK OF AFRICA NIGER,759,2 595,2 575,"-0,77"
BOAS,BANK OF AFRICA SENEGAL,2 756,5 365,5 390,"0,47"
CABC,SICABLE COTE D'IVOIRE,339,1 700,1 700,"0,00"
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,1 029,9 980,10 000,"0,15"
CFAC,CFAO MOTORS COTE D'IVOIRE,3 805,1 900,2 000,"6,38"
CIEC,CIE COTE D'IVOIRE,964,2 500,2 540,"1,60"
ECOC,ECOBANK COTE D'IVOIRE,542,14 200,14 150,"0,35"
ETIT,Ecobank Transnational Incorporated TOGO,242 902,22,22,"0,00"
FTSC,FILTISAC COTE D'IVOIRE,6 068,2 910,2 895,"-0,86"
LNBB,LOTERIE NATIONALE DU BENIN,312,4 000,4 000,"0,00"
NEIC,NEI-CEDA COTE D'IVOIRE,125,685,685,"0,00"
NSBC,NSIA BANQUE COTE D'IVOIRE,5 575,11 200,11 450,"2,28"
NTLC,NESTLE COTE D'IVOIRE,721,13 400,13 390,"0,00"
ONTBF,ONATEL BURKINA FASO,3 221,2 500,2 500,"0,00"
ORAC,ORANGE COTE D'IVOIRE,1 389,14 800,14 505,"-1,99"
ORGT,ORAGROUP TOGO,1 822,2 700,2 630,"0,00"
PALC,PALM COTE D'IVOIRE,9 481,8 900,9 045,"1,63"
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,2 787,3 985,4 050,"1,76"
SAFC,SAFCA COTE D'IVOIRE,4 145,3 180,3 180,"7,43"
SCRC,SUCRIVOIRE COTE D'IVOIRE,4 833,1 315,1 375,"4,17"
SDCC,SODE COTE D'IVOIRE,96,6 020,6 100,"-1,53"
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,12 071,1 475,1 455,"0,34"
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 459,27 700,27 695,"1,26"
SHEC,VIVO ENERGY COTE D'IVOIRE,4 203,1 190,1 180,"-0,84"
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1 734,5 700,5 800,"2,65"
SICC,SICOR COTE D'IVOIRE,104,3 500,3 500,"0,00"
SIVC,AIR LIQUIDE COTE D'IVOIRE,690,710,705,"5,22"
SLBC,SOLIBRA COTE D'IVOIRE,285,17 800,18 000,"-0,06"
SMBC,SMB COTE D'IVOIRE,460,9 650,9 650,"0,42"
SNTS,SONATEL SENEGAL,2 888,26 600,26 500,"-0,75"
SOGC,SOGB COTE D'IVOIRE,2 089,8 695,8 690,"-0,06"
SPHC,SAPH COTE D'IVOIRE,1 454,8 190,8 105,"-1,10"
STAC,SETAO COTE D'IVOIRE,335,1 200,1 200,"0,00"
STBC,SITAB COTE D'IVOIRE,285,19 400,19 650,"2,08"
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3 470,2 390,2 370,"-0,84"
TTLS,TOTALENERGIES MARKETING SENEGAL,348,2 525,2 500,"-0,99"
UNLC,UNILEVER COTE D'IVOIRE,0,0,18 605,"0,00"
UNXC,UNIWAX COTE D'IVOIRE,6 631,1 870,1 840,"-1,60"
