Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,9 604,2 200,2 115,"-3,86"
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,1 613,5 250,5 255,"0,10"
BICC,BICI COTE D'IVOIRE,3 754,20 000,19 740,"5,28"
BNBC,BERNABE COTE D'IVOIRE,2 071,1 800,1 730,"-4,95"
BOAB,BANK OF AFRICA BENIN,3 900,5 050,5 050,"0,00"
BOABF,BANK OF AFRICA BURKINA FASO,1 029,3 800,3 800,"0,00"
BOAC,BANK OF AFRICA COTE D'IVOIRE,9 307,7 290,7 290,"0,07"
BOAM,BANK OF AFRICA MALI,2 756,4 200,4 205,"0,12"
BOAN,BANK OF AFRICA NIGER,2 257,2 570,2 550,"0,79"
BOAS,BANK OF AFRICA SENEGAL,1 887,5 500,5 640,"2,55"
CABC,SICABLE COTE D'IVOIRE,819,1 895,1 800,"-6,98"
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,438,9 995,9 980,"0,00"
CFAC,CFAO MOTORS COTE D'IVOIRE,8 959,1 800,1 725,"1,47"
CIEC,CIE COTE D'IVOIRE,2 771,2 495,2 495,"0,20"
ECOC,ECOBANK COTE D'IVOIRE,174,14 000,13 950,"-0,36"
ETIT,Ecobank Transnational Incorporated TOGO,336 008,21,21,"0,00"
FTSC,FILTISAC COTE D'IVOIRE,4 754,2 920,2 890,"-1,37"
LNBB,LOTERIE NATIONALE DU BENIN,70,4 000,4 000,"0,00"
NEIC,NEI-CEDA COTE D'IVOIRE,292,680,680,"-1,45"
NSBC,NSIA BANQUE COTE D'IVOIRE,3 137,11 000,11 100,"0,00"
NTLC,NESTLE COTE D'IVOIRE,846,13 500,13 500,"3,05"
ONTBF,ONATEL BURKINA FASO,4 359,2 400,2 485,"-0,40"
ORAC,ORANGE COTE D'IVOIRE,1 149,14 840,14 950,"0,03"
ORGT,ORAGROUP TOGO,4 879,2 500,2 530,"1,20"
PALC,PALM COTE D'IVOIRE,4 531,9 000,8 880,"-0,22"
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,5 967,4 000,3 905,"-0,89"
SAFC,SAFCA COTE D'IVOIRE,2 298,2 500,2 565,"2,60"
SCRC,SUCRIVOIRE COTE D'IVOIRE,2 730,1 255,1 250,"0,00"
SDCC,SODE COTE D'IVOIRE,1 090,6 150,6 075,"-1,22"
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,10 265,1 460,1 490,"0,34"
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 203,27 500,27 500,"1,08"
SHEC,VIVO ENERGY COTE D'IVOIRE,1 216,1 260,1 250,"0,00"
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,5 074,5 700,5 550,"0,00"
SICC,SICOR COTE D'IVOIRE,103,3 400,3 500,"2,94"
SIVC,AIR LIQUIDE COTE D'IVOIRE,20 459,710,685,"2,24"
SLBC,SOLIBRA COTE D'IVOIRE,26,18 000,19 350,"7,50"
SMBC,SMB COTE D'IVOIRE,836,9 780,9 600,"0,00"
SNTS,SONATEL SENEGAL,3 038,26 300,26 210,"0,04"
SOGC,SOGB COTE D'IVOIRE,1 945,8 695,8 505,"-2,19"
SPHC,SAPH COTE D'IVOIRE,2 077,8 090,8 000,"0,00"
STAC,SETAO COTE D'IVOIRE,1 843,1 180,1 150,"-2,54"
STBC,SITAB COTE D'IVOIRE,2 958,19 980,19 800,"-0,75"
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,4 442,2 400,2 400,"0,00"
TTLS,TOTALENERGIES MARKETING SENEGAL,8 893,2 500,2 500,"0,00"
UNLC,UNILEVER COTE D'IVOIRE,0,0,18 605,"0,00"
UNXC,UNIWAX COTE D'IVOIRE,49 669,1 800,1 815,"0,83"
